wilayah,provinsi,tahun,pdrb_perkapita,kemiskinan,pengangguran,ipm,harapan_hidup,rata_lama_sekolah,akses_internet,jalan_baik,air_bersih,catatan_data
Kabupaten/Kota_57,Sulawesi Selatan,2023,104992445.0,9.25,9.47,80.33,74.14,13.08,70.59,48.72,80.57,Normal
Kabupaten/Kota_58,Jawa Timur,2021,42411054.0,18.76,12.77,75.73,72.8,6.29,92.8,39.82,88.43,Normal
Kabupaten/Kota_59,Jawa Timur,2023,214810577.0,20.61,11.8,81.42,69.16,10.89,80.21,64.01,80.12,Normal
Kabupaten/Kota_60,Kalimantan Timur,2021,89273548.0,10.05,10.47,74.15,64.05,8.84,86.2,63.07,59.11,Normal
Kabupaten/Kota_61,Sumatera Barat,2023,202156937.0,4.03,5.58,68.92,62.01,11.42,47.51,52.42,54.3,Normal
Kabupaten/Kota_62,Sulawesi Selatan,2024,142803384.0,18.78,12.51,,71.98,5.29,29.88,61.41,88.94,Missing Value
Kabupaten/Kota_63,Kalimantan Timur,2023,186626067.0,21.27,5.87,74.47,62.25,13.59,47.8,51.75,44.29,Normal
Kabupaten/Kota_64,Banten,2020,46702468.0,14.84,14.67,55.3,68.75,8.78,74.93,34.49,51.31,Normal
Kabupaten/Kota_65,Sumatera Utara,2021,103339343.0,18.05,11.32,58.51,61.32,9.59,49.29,43.72,45.38,Normal
Kabupaten/Kota_66,Jawa Tengah,2022,61952533.0,6.37,13.12,67.67,71.62,13.29,92.47,60.57,66.84,Normal
Kabupaten/Kota_67,Jawa Barat,2023,28837436.0,4.16,5.19,70.23,66.78,12.6,45.92,54.44,59.99,Normal
Kabupaten/Kota_68,Jawa Timur,2020,22237844.0,12.22,8.0,55.99,63.68,7.58,74.83,40.62,76.3,Normal
Kabupaten/Kota_69,Sumatera Utara,2021,158450054.0,19.34,1.48,69.13,62.8,7.97,74.62,69.07,90.93,Normal
Kabupaten/Kota_70,Jawa Timur,2021,139433190.0,13.09,5.63,73.79,68.34,13.19,54.04,93.95,44.76,Normal
Kabupaten/Kota_71,Sumatera Barat,2023,41452644.0,22.85,9.55,64.66,70.19,10.51,30.09,84.2,49.66,Normal
Kabupaten/Kota_72,Sumatera Barat,2024,134224469.0,17.57,4.82,62.05,65.23,13.18,38.52,78.83,88.48,Normal
Kabupaten/Kota_73,Jawa Tengah,2024,118502987.0,14.6,6.16,75.83,76.87,13.9,46.85,71.15,48.38,Normal
Kabupaten/Kota_74,DKI Jakarta,2023,56468577.0,5.69,4.76,61.96,74.7,7.67,65.87,33.44,92.04,Normal
Kabupaten/Kota_75,Banten,2024,135083843.0,2.59,3.22,64.99,71.98,6.45,23.08,47.04,60.85,Normal
Kabupaten/Kota_76,Jawa Tengah,2021,138971967.0,12.01,2.32,71.69,60.91,10.91,71.05,59.01,49.35,Normal
Kabupaten/Kota_77,DKI Jakarta,2021,135947674.0,19.59,9.15,77.14,77.23,10.54,44.25,60.23,76.06,Normal
Kabupaten/Kota_78,Papua,2021,66657966.0,7.26,11.42,78.72,69.1,13.9,65.83,96.06,51.84,Normal
Kabupaten/Kota_79,Sulawesi Selatan,2021,77382551.0,13.47,11.43,57.83,71.31,11.31,58.91,83.63,95.55,Normal
Kabupaten/Kota_80,Sumatera Barat,2021,163314166.0,16.67,4.24,73.61,76.55,13.96,26.08,48.78,73.7,Normal
Kabupaten/Kota_81,DKI Jakarta,2021,55660097.0,16.2,14.75,55.27,72.81,5.81,60.01,98.4,44.26,Normal
Kabupaten/Kota_82,Kalimantan Timur,2022,150494538.0,3.66,8.62,57.88,68.12,5.22,40.68,38.91,88.74,Normal
Kabupaten/Kota_83,Kalimantan Timur,2022,46234040.0,18.02,7.72,65.52,75.32,7.08,47.96,94.8,55.27,Normal
Kabupaten/Kota_84,Papua,2024,39767907.0,4.38,10.01,65.4,75.01,9.03,31.75,46.82,78.92,Normal
Kabupaten/Kota_85,Sumatera Utara,2021,208576010.0,12.42,3.01,78.34,69.87,11.63,53.41,56.43,55.5,Normal
Kabupaten/Kota_86,Papua,2022,239387049.0,22.24,11.75,71.04,67.79,10.87,75.13,46.17,68.49,Normal
Kabupaten/Kota_87,Papua,2021,56544666.0,24.15,5.81,79.18,71.01,13.73,20.29,62.64,67.25,Normal
Kabupaten/Kota_88,Jawa Barat,2021,21134541.0,7.97,12.25,60.47,63.28,11.93,91.2,46.94,47.52,Normal
Kabupaten/Kota_89,DKI Jakarta,2023,161850840.0,12.91,6.34,67.58,77.53,11.25,45.35,39.46,53.93,Normal
Kabupaten/Kota_90,Kalimantan Timur,2022,39771320.0,22.9,3.35,67.52,76.93,9.12,77.97,73.34,43.32,Normal
Kabupaten/Kota_91,Jawa Timur,2023,221283854.0,11.84,2.44,69.83,76.37,10.59,68.5,84.97,98.61,Normal
Kabupaten/Kota_92,Jawa Timur,2021,74623384.0,2.46,14.43,57.17,69.68,9.32,68.87,50.37,95.95,Normal
Kabupaten/Kota_93,Sumatera Utara,2023,231306131.0,16.44,3.78,73.67,74.88,5.31,72.86,91.72,77.58,Normal
Kabupaten/Kota_94,DKI Jakarta,2022,246075840.0,12.82,2.92,79.58,65.77,7.23,26.01,56.05,53.96,Normal
Kabupaten/Kota_95,Sumatera Utara,2020,1472419961.0,12.07,1.79,77.54,66.66,11.82,64.04,75.37,63.44,Outlier
Kabupaten/Kota_96,Sumatera Utara,2020,60978130.0,16.61,12.53,84.02,74.73,10.78,39.18,71.18,58.62,Normal
Kabupaten/Kota_97,Papua,2022,90616205.0,23.22,9.17,77.98,64.58,10.64,48.79,70.91,49.49,Normal
Kabupaten/Kota_98,Kalimantan Timur,2024,32428446.0,16.85,3.02,,60.89,8.25,73.06,75.08,52.55,Missing Value
Kabupaten/Kota_99,Jawa Barat,2021,189638678.0,7.25,13.22,58.81,64.46,6.23,65.42,56.77,84.92,Normal
Kabupaten/Kota_100,Jawa Barat,2020,213308029.0,24.32,9.3,76.18,76.17,13.6,72.11,47.28,91.77,Normal
Kabupaten/Kota_101,Sumatera Utara,2022,69699829.0,17.46,6.56,83.89,61.16,13.78,70.59,56.62,97.16,Normal
Kabupaten/Kota_102,Jawa Timur,2024,128657496.0,6.02,4.16,71.06,70.51,11.13,34.44,60.62,60.5,Normal
Kabupaten/Kota_103,Kalimantan Timur,2020,19950509.0,13.45,9.75,75.85,67.23,6.47,94.24,39.26,78.84,Normal
Kabupaten/Kota_104,DKI Jakarta,2021,65930070.0,19.29,7.19,56.09,69.12,9.29,63.11,78.46,84.13,Normal
Kabupaten/Kota_105,Kalimantan Timur,2023,170931254.0,24.69,9.71,58.45,61.96,5.57,77.91,89.31,79.66,Normal
Kabupaten/Kota_106,Jawa Tengah,2021,136093745.0,15.44,4.23,71.67,64.48,7.21,26.64,97.93,86.02,Normal
Kabupaten/Kota_107,DKI Jakarta,2020,80005249.0,7.4,10.54,66.18,66.53,12.91,38.65,94.19,40.85,Normal
Kabupaten/Kota_108,Jawa Tengah,2022,36169534.0,19.76,10.68,74.55,69.3,7.21,86.38,94.0,91.61,Normal
Kabupaten/Kota_109,Banten,2024,132270086.0,13.17,2.03,78.05,75.06,5.91,56.94,43.79,90.34,Normal
Kabupaten/Kota_110,Sulawesi Selatan,2020,162481501.0,18.68,3.85,65.41,76.28,6.16,74.48,91.6,49.83,Normal
Kabupaten/Kota_111,Papua,2022,244518773.0,7.97,14.05,80.92,60.33,5.81,86.37,35.41,64.66,Normal
Kabupaten/Kota_112,Kalimantan Timur,2022,47969798.0,4.91,10.37,78.49,77.81,13.22,91.99,73.18,71.99,Normal
Kabupaten/Kota_113,Sulawesi Selatan,2022,148686478.0,16.55,13.18,72.26,65.2,6.79,37.49,75.36,58.88,Normal
Kabupaten/Kota_114,Jawa Tengah,2023,249973024.0,21.91,7.24,62.04,67.01,7.9,79.13,67.35,96.91,Normal
Kabupaten/Kota_115,Sulawesi Selatan,2024,162371400.0,18.86,11.16,58.23,72.29,6.25,89.11,39.71,80.27,Normal
Kabupaten/Kota_116,Kalimantan Timur,2020,246117311.0,22.16,2.96,62.44,61.78,13.67,65.56,49.71,48.21,Normal
Kabupaten/Kota_117,Sumatera Barat,2022,36204659.0,7.68,14.69,72.01,60.97,9.72,48.93,84.06,77.86,Normal
Kabupaten/Kota_118,DKI Jakarta,2021,93907769.0,12.62,8.58,68.71,63.78,12.85,33.14,90.53,58.04,Normal
Kabupaten/Kota_119,Sumatera Utara,2021,91042115.0,3.86,5.99,62.06,77.12,12.33,78.68,30.55,70.23,Normal
Kabupaten/Kota_120,Jawa Barat,2021,132590269.0,12.02,12.39,64.37,73.86,12.03,76.63,46.53,98.26,Normal
Kabupaten/Kota_121,Kalimantan Timur,2021,15031581.0,21.67,6.1,80.26,62.56,13.87,89.66,82.19,89.82,Normal
Kabupaten/Kota_122,Papua,2020,66916715.0,19.6,12.62,55.66,69.94,6.11,33.89,84.95,91.24,Normal
Kabupaten/Kota_123,Sulawesi Selatan,2024,16727281.0,3.36,2.26,68.95,68.62,12.39,95.54,,70.71,Missing Value
Kabupaten/Kota_124,Jawa Timur,2023,249275278.0,13.2,1.35,75.79,77.8,7.32,89.57,56.86,77.88,Normal
Kabupaten/Kota_125,Sulawesi Selatan,2024,20084801.0,14.32,3.43,82.1,74.15,9.5,51.39,39.75,76.6,Normal
Kabupaten/Kota_126,Sulawesi Selatan,2023,208117157.0,8.5,2.99,58.36,64.06,10.26,74.75,91.61,93.39,Normal
Kabupaten/Kota_127,Sumatera Utara,2020,69544591.0,8.84,14.39,74.81,60.64,12.66,75.07,93.38,89.08,Normal
Kabupaten/Kota_128,Kalimantan Timur,2023,74539135.0,6.75,6.34,72.04,70.85,8.11,70.99,43.84,53.17,Normal
Kabupaten/Kota_129,Sulawesi Selatan,2021,61554831.0,7.93,5.01,74.77,72.17,10.26,20.4,69.15,66.1,Normal
Kabupaten/Kota_130,Jawa Tengah,2020,102581964.0,17.34,6.7,79.59,71.7,12.68,64.34,96.94,99.27,Normal
Kabupaten/Kota_131,Kalimantan Timur,2023,55944772.0,24.18,11.87,83.27,76.51,11.05,48.32,93.08,43.23,Normal
Kabupaten/Kota_132,Jawa Barat,2023,61625549.0,15.96,13.98,58.03,65.58,8.29,78.58,69.97,58.5,Normal
Kabupaten/Kota_133,Jawa Timur,2024,143014165.0,24.95,8.69,64.04,65.11,5.27,25.0,34.19,83.75,Normal
Kabupaten/Kota_134,DKI Jakarta,2020,160240443.0,7.0,8.46,82.02,77.07,11.19,55.85,33.13,57.04,Normal
Kabupaten/Kota_135,Sumatera Utara,2024,126514442.0,8.27,3.53,60.71,74.27,13.41,55.77,58.72,41.16,Normal
Kabupaten/Kota_136,DKI Jakarta,2023,180844553.0,13.49,14.77,63.54,72.89,6.78,30.48,74.08,81.64,Normal
Kabupaten/Kota_137,Sumatera Utara,2022,247178445.0,14.65,6.1,72.95,73.2,6.04,72.49,93.31,50.69,Normal
Kabupaten/Kota_138,Sumatera Utara,2022,66142515.0,13.78,5.69,75.0,71.91,9.25,75.2,82.5,73.68,Normal
Kabupaten/Kota_139,Papua,2021,249245211.0,23.06,10.62,77.92,66.26,11.62,74.49,83.05,69.32,Normal
Kabupaten/Kota_140,Jawa Barat,2024,180379693.0,16.83,13.56,71.63,69.58,7.62,2.18,64.56,56.44,Outlier
Kabupaten/Kota_141,Jawa Tengah,2020,62647745.0,24.07,6.0,83.83,71.3,11.34,69.2,76.49,52.89,Normal
Kabupaten/Kota_142,Jawa Tengah,2023,44724882.0,24.18,10.33,67.95,72.71,13.61,33.58,93.7,54.33,Normal
Kabupaten/Kota_143,Banten,2024,57929344.0,6.13,10.03,55.13,77.13,13.9,80.72,47.2,42.17,Normal
Kabupaten/Kota_144,Banten,2023,232119437.0,10.77,3.58,56.43,67.72,7.13,60.45,86.91,76.67,Normal
Kabupaten/Kota_145,Jawa Tengah,2024,33001266.0,2.41,11.24,57.66,62.78,12.94,75.3,87.38,64.6,Normal
Kabupaten/Kota_146,Jawa Barat,2020,76309714.0,3.51,3.33,80.79,73.85,13.09,36.32,83.07,88.79,Normal
Kabupaten/Kota_147,DKI Jakarta,2024,29646230.0,11.22,11.91,81.82,68.71,13.85,30.35,64.01,97.7,Normal
Kabupaten/Kota_148,Jawa Tengah,2024,128816066.0,10.07,3.84,64.8,62.4,5.92,24.8,84.14,88.89,Normal
Kabupaten/Kota_149,Jawa Tengah,2023,154326058.0,8.25,6.21,76.62,74.68,13.37,63.24,92.9,51.05,Normal
Kabupaten/Kota_150,Sumatera Barat,2023,211496558.0,12.36,47.04,77.96,66.69,12.35,57.74,45.8,68.16,Outlier
Kabupaten/Kota_151,Sumatera Barat,2020,89108824.0,9.24,3.84,57.28,63.81,9.97,64.84,91.19,82.1,Normal
Kabupaten/Kota_152,Sumatera Barat,2020,143191041.0,,7.28,64.97,60.05,5.42,27.28,66.16,59.57,Missing Value
Kabupaten/Kota_153,DKI Jakarta,2021,191818753.0,21.74,11.46,59.57,70.21,8.24,89.28,66.1,51.52,Normal
Kabupaten/Kota_154,Papua,2023,242379134.0,24.58,5.33,61.38,61.54,12.62,30.95,84.48,56.32,Normal
Kabupaten/Kota_155,Jawa Barat,2020,47910416.0,7.13,7.5,78.95,74.7,7.08,49.6,95.13,77.11,Normal
Kabupaten/Kota_156,Sumatera Utara,2023,46587458.0,8.67,1.16,75.53,63.49,8.08,91.8,49.03,62.39,Normal
Kabupaten/Kota_157,Papua,2022,128021506.0,16.36,4.74,57.07,74.06,7.67,35.67,86.11,65.26,Normal
Kabupaten/Kota_158,Sumatera Utara,2022,116190199.0,5.03,2.95,,65.57,13.83,52.25,66.98,88.98,Missing Value
Kabupaten/Kota_159,Sulawesi Selatan,2024,241183421.0,16.47,13.82,62.63,66.6,12.95,61.39,33.69,86.69,Normal
Kabupaten/Kota_160,Sumatera Utara,2020,61921134.0,20.42,7.39,59.47,60.55,12.43,36.05,80.1,49.62,Normal
Kabupaten/Kota_161,Banten,2024,150511624.0,2.94,9.43,70.5,62.34,11.05,50.73,71.43,76.75,Normal
Kabupaten/Kota_162,Kalimantan Timur,2021,241238086.0,2.82,2.04,,75.18,13.69,75.0,36.55,73.81,Missing Value
Kabupaten/Kota_163,Sumatera Barat,2023,113417757.0,9.73,1.52,76.07,71.51,9.57,41.7,67.59,80.22,Normal
Kabupaten/Kota_164,DKI Jakarta,2020,143092609.0,17.87,12.13,64.83,66.88,5.16,48.35,61.62,73.08,Normal
Kabupaten/Kota_165,Jawa Timur,2020,124956272.0,18.33,14.71,84.12,67.99,9.29,70.76,74.39,98.27,Normal
Kabupaten/Kota_166,Jawa Timur,2023,184596270.0,19.4,9.25,74.74,72.73,12.32,57.02,97.42,87.21,Normal
Kabupaten/Kota_167,Sumatera Utara,2024,93940543.0,22.34,13.49,71.35,69.4,12.81,71.37,82.51,85.13,Normal
Kabupaten/Kota_168,Jawa Timur,2024,182147876.0,2.68,,82.98,74.78,12.32,80.69,85.6,82.55,Missing Value
Kabupaten/Kota_169,Jawa Tengah,2022,101502239.0,19.79,2.44,73.51,75.6,11.87,41.82,55.08,68.52,Normal
Kabupaten/Kota_170,Jawa Tengah,2024,218937568.0,24.18,3.03,67.27,61.01,5.35,89.88,59.12,45.18,Normal
Kabupaten/Kota_171,Papua,2022,58646553.0,17.04,9.03,84.91,68.55,11.25,80.88,91.12,68.38,Normal
Kabupaten/Kota_172,Sumatera Utara,2023,183819371.0,4.55,7.25,61.46,65.84,7.16,25.47,95.38,75.72,Normal
Kabupaten/Kota_173,Sumatera Barat,2023,213211176.0,7.27,10.32,58.05,69.04,7.39,66.92,98.16,57.03,Normal
Kabupaten/Kota_174,Sumatera Utara,2020,50836366.0,13.11,2.38,64.02,76.35,10.25,26.16,36.83,83.15,Normal
Kabupaten/Kota_175,Banten,2023,115737760.0,3.69,3.66,72.04,66.25,5.64,35.78,83.25,69.16,Normal
Kabupaten/Kota_176,Papua,2023,74173285.0,11.81,11.82,76.58,67.85,5.67,50.68,50.39,47.53,Normal
Kabupaten/Kota_177,Kalimantan Timur,2024,140789104.0,13.94,5.19,55.18,69.56,9.63,58.07,99.56,46.59,Normal
Kabupaten/Kota_178,Sumatera Barat,2020,173995607.0,8.0,1.71,75.26,61.99,7.2,61.52,37.02,76.5,Normal
Kabupaten/Kota_179,Sulawesi Selatan,2020,205546729.0,19.93,11.54,77.01,71.39,9.15,87.9,87.27,95.5,Normal
Kabupaten/Kota_180,Kalimantan Timur,2021,35278737.0,3.74,13.6,56.04,66.08,6.54,20.41,,47.03,Missing Value
Kabupaten/Kota_181,Sumatera Utara,2020,93787824.0,13.44,12.69,58.23,72.05,8.01,78.44,62.43,66.15,Normal
Kabupaten/Kota_182,Banten,2020,94429613.0,4.63,4.33,61.81,61.35,10.72,23.26,56.28,86.68,Normal
Kabupaten/Kota_183,Jawa Timur,2023,92196931.0,10.55,9.32,72.58,73.88,6.66,79.28,57.04,58.86,Normal
Kabupaten/Kota_184,Sumatera Utara,2020,120053120.0,21.86,10.39,72.77,77.97,8.57,94.27,94.11,54.76,Normal
Kabupaten/Kota_185,Sumatera Barat,2020,52204257.0,14.28,3.35,65.22,64.1,8.06,58.74,45.78,86.43,Normal
Kabupaten/Kota_186,Sumatera Utara,2023,231358220.0,15.45,9.98,58.13,71.11,12.44,71.66,90.19,71.56,Normal
Kabupaten/Kota_187,Banten,2020,170646274.0,19.47,14.09,61.9,67.59,11.55,74.27,30.87,88.33,Normal
Kabupaten/Kota_188,Sulawesi Selatan,2023,208148830.0,16.6,13.61,74.99,64.62,13.46,76.01,54.77,59.41,Normal
Kabupaten/Kota_189,Jawa Barat,2023,83835063.0,16.51,6.25,69.91,70.4,7.5,67.9,40.08,55.26,Normal
Kabupaten/Kota_190,Jawa Tengah,2023,144631708.0,18.14,13.03,71.51,74.33,6.49,39.17,89.04,78.41,Normal
Kabupaten/Kota_191,Kalimantan Timur,2024,220058647.0,19.1,9.1,55.38,76.25,12.81,69.4,88.87,65.56,Normal
Kabupaten/Kota_192,Sumatera Utara,2020,56388902.0,12.17,10.21,58.94,72.5,13.81,62.67,52.7,82.67,Normal
Kabupaten/Kota_193,Banten,2023,230605100.0,17.65,3.0,83.7,64.87,13.42,91.5,87.92,59.26,Normal
Kabupaten/Kota_194,Jawa Tengah,2020,223100714.0,12.88,4.55,55.42,61.14,5.78,33.69,76.5,84.18,Normal
Kabupaten/Kota_195,Sumatera Barat,2022,178736868.0,6.27,8.48,56.8,72.9,7.56,20.9,89.55,87.01,Normal
Kabupaten/Kota_196,Sumatera Utara,2020,247672567.0,11.86,4.08,82.96,65.22,5.57,49.93,44.89,48.28,Normal
Kabupaten/Kota_197,Banten,2024,153755511.0,24.76,12.29,76.85,69.97,13.33,76.59,83.9,96.52,Normal
Kabupaten/Kota_198,Jawa Barat,2023,46484958.0,24.3,7.85,55.29,72.25,8.51,70.33,45.77,85.35,Normal
Kabupaten/Kota_199,Kalimantan Timur,2022,224546329.0,20.82,11.99,62.61,65.86,7.47,32.63,72.4,53.94,Normal
Kabupaten/Kota_200,Jawa Barat,2023,40324852.0,22.97,13.84,69.21,61.71,13.54,93.35,51.53,59.99,Normal
Kabupaten/Kota_201,Banten,2021,165258515.0,3.05,2.88,61.64,73.0,6.42,60.13,75.5,47.8,Normal
Kabupaten/Kota_202,Banten,2021,171848360.0,9.55,4.46,81.77,61.37,11.36,59.88,50.32,42.09,Normal
Kabupaten/Kota_203,Kalimantan Timur,2020,177838425.0,8.73,1.38,59.47,77.45,12.4,89.29,59.49,52.79,Normal
Kabupaten/Kota_204,Jawa Tengah,2020,144392007.0,18.02,11.88,66.53,74.38,5.4,81.82,65.85,87.16,Normal
Kabupaten/Kota_205,Jawa Barat,2023,217184630.0,6.18,4.27,72.4,62.14,6.34,92.83,71.45,57.66,Normal
Kabupaten/Kota_206,Jawa Tengah,2020,168633137.0,9.74,2.37,81.84,65.76,12.26,30.21,96.09,87.66,Normal
Kabupaten/Kota_207,DKI Jakarta,2023,213419049.0,6.75,8.41,57.69,62.35,6.29,50.97,97.85,92.06,Normal
Kabupaten/Kota_208,Kalimantan Timur,2020,135709112.0,3.36,4.07,84.51,61.04,13.5,40.7,46.8,50.24,Normal
